Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name
"record_id",generatedcrf,,text,"Record ID",,,,,,,,,,,
"age_at_diagnosis",generatedcrf,,dropdown,"Age at diagnosis","0003577, At birth | 0030674, Antenatal | 373068000, Undetermined | dateTime, Date",,,,,,,,,,
"age_at_onset",generatedcrf,,dropdown,"Age at onset","0003577, At birth | 0030674, Antenatal | 373068000, Undetermined | dateTime, Date",,,,,,,,,,
"agreement_to_be_contacted_for_research_purposes",generatedcrf,,text,"Agreement to be contacted for research purposes",,,,,,,,,,,
"biobank_url",generatedcrf,,dropdown,"Biobank URL","NL_aaaac2dvrk2a6acqk2mpm4yaai, Fetal Aneuploidy Biobank | NL_aaaac2dvrk2auacqk2mpm4yabe, DIPAK | NL_aaaac2dvrk2baacqk2mpm4yaae, Biobank Hemoglobinopathy | NL_aaaac2dvrk2baacqk2mpm4yaai, Hoofd-halskanker Biobank | NL_aaaac2dvrk2baacqk2mpm4yaam, Obesity Center CGG biobank | NL_aaaac2dvrk2baacqk2mpm4yaau, Postpartum psychosis biobank | NL_aaaac2rbppbqeacqk2mpm4yaae, Databiobank OncoLifeS | NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE, BioBank Maastricht UMC | NL_AAAACVOEOZ2UYZSUAVNCZ2AAAE, Academic Medical Center Biobank | NL_AAAACVOEPHI3IZSUAVNCZ2AAAE, Durrer Center | NL_AAAACW5ELBQ4WZSUAVNCZ2AAAE, Wageningen University Research Biobank | NL_AAAACW5FCXM3MZSUAVNCZ2AAAE, Erasmus MC Biobank | NL_AAAACW7MF7WRMACQK2MD37AAAE, MeninGene Biobank | NL_AAAACXAVZYY2YACQK2MD37AAAE, Netherlands Brain Bank | NL_AAAACXJQEK6I4ACQK2ME25QAAE, Leiden University Medical Center Biobank | NL_AAAACXJR5GDHKACQK2ME25QAAE, EORTC | NL_AAAACXO74F5GMACQK2ME25QAAE, ACS Biobank | NL_AAAACXO74P6CWACQK2ME25QAAE, TRAILS biobank | NL_AAAACXPAF5YXYACQK2ME25QAAM, AMC Renal Transplant Biobank | NL_AAAACXPAGSMBGACQK2ME25QAAI, Vrije Unversiteit Medisch Centrum Bacteriele Meningitis | NL_AAAACXPAJZC52ACQK2ME25QAAE, NeuroUnit Biomarkers for Inflammation and Neurodegeneration | NL_AAAACXPAPKLICACQK2ME25QAAE, Hemochromatosis family study biobank | NL_AAAACXPAPP4NIACQK2ME25QAAE, Cluster Biobank | NL_AAAACXPASAS2AACQK2ME25QAAE, UMCG Research Data and Biobanking Team | NL_AAAACXPASYLVKACQK2ME25QAAE, CuraSAB Biobank | NL_AAAACXPATMOWYACQK2ME25QAAM, Genetics, Arthrosis and Progression Biobank | NL_AAAACXPAUCGZWACQK2ME25QAAE, Early Arthitis Clinic cohort | NL_AAAACXPAVQE52ACQK2ME25QAAE, National Twin Registry and Netherlands Study of Depression and Anxiety Biobank | NL_AAAACXPAVYJOOACQK2ME25QAAE, Netherlands Study Depression and Anxiety Biobank | NL_AAAACXPAWIJHOACQK2ME25QAAE, KNOOPGenetic and Asthma together | NL_AAAACXPAWTUFCACQK2ME25QAAM, Lifelines Biobank | NL_AAAACXPF2EYBEACQK2ME25QAAM, Healthy LIfe in an Urban Setting Biobank | NL_AAAACXPF2POVSACQK2ME25QAAI, Erasmus MC Tissue Biobank | NL_AAAACXPF3FZEAACQK2ME25QAAM, NL Perinatal Screening Biobank | NL_AAAACXPF3ZSUWACQK2ME25QAAM, Tamoxifen Exemestane Adjuvant Multinational Biobank | NL_AAAACXPF4GVAEACQK2ME25QAAE, Research Arthritis and Articular Cartilage Biobank | NL_AAAACXPF4VZU4ACQK2ME25QAAM, New Hoorn Study Biobank | NL_AAAACXPF7SEQEACQK2ME25QAAE, Biobank Reproduction and Development | NL_AAAACXPFMLKW2ACQK2ME25QAAE, Surinamese in the netherlands: study on ethnicity and health Biobank | NL_AAAACXPFMQJ7WACQK2ME25QAAM, RECOGIDAS MUESTRAS Biobank | NL_AAAACXPFOKGE6ACQK2ME25QAAE, Utrecht Clamp Cohort Biobank | NL_AAAACXPFPWGMSACQK2ME25QAAE, Utrecht Depression Epidemiology Study Biobank | NL_AAAACXPFROFN6ACQK2ME25QAAM, Leidsche Rijn Gezondheid Study Biobank | NL_AAAACXPFU3BUUACQK2ME25QAAE, Severely Obese Individuals Maastricht | NL_AAAACXPFV6EUKACQK2ME25QAAM, Tuberculosis Indonesia Biobank | NL_AAAACXPFVEJHAACQK2ME25QAAE, Inflammatory Bowel Disease Zuid Limburg Biobank | NL_AAAACXPFW2H7KACQK2ME25QAAE, Fronto-temporal Dementia Biobank | NL_AAAACXPFWJPCYACQK2ME25QAAE, HIV Host genetics cohort Biobank | NL_AAAACXPFX7P3EACQK2ME25QAAE, Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank | NL_AAAACXPFXCFPSACQK2ME25QAAI, LUMINA Biobank | NL_AAAACXPJ3VCTUACQK2ME25QAAE, ARGOS Biobank | NL_AAAACXPJW5GJ6ACQK2ME25QAAM, Diabetes care system West-Friesland Biobank | NL_AAAACXPJX4UB6ACQK2ME25QAAE, Biobank Interstitial Lung Disease | NL_AAAACXPJXQJHAACQK2ME25QAAE, Binnenstebuiten Biobank | NL_AAAACXPJXYJXSACQK2ME25QAAE, Oogziekenhuis Biobank | NL_AAAACXPJYFQTKACQK2ME25QAAE, Myopia Study Biobank | NL_AAAACXPJYUZMIACQK2ME25QAAI, Ghana Study Biobank | NL_AAAACXPJZNKPOACQK2ME25QAAE, ID1000 Biobank | NL_AAAACXPK6TQCOACQK2ME25QAAE, Hoorn Study Biobank | NL_AAAACXPKCENKIACQK2ME25QAAM, Dutch Hunger Winter Families Study Biobank | NL_AAAACXPKCIJ6KACQK2ME25QAAE, NEO Study Biobank | NL_AAAACXPKDOM6AACQK2ME25QAAE, Netherlands Twin Register Biobank | NL_AAAACXPKEJXLSACQK2ME25QAAE, Generation R Biobank | NL_AAAACXPKEZGNYACQK2ME25QAAE, Erasmus Rucphen Family Study Biobank | NL_AAAACXPKFIXU4ACQK2ME25QAAE, POPS Biobank | NL_AAAACXPKGLJLKACQK2ME25QAAE, NESCOG Biobank | NL_AAAACXPKHAQOYACQK2ME25QAAI, ERGO Biobank | NL_AAAACXPKIFC32ACQK2ME25QAAM, U-TWIN Biobank | NL_AAAACXPKKEALKACQK2ME25QAAE, PIAMA Biobank | NL_AAAACXPKLWV6CACQK2ME25QAAE, WHISTLER Biobank | NL_AAAACXPKM4ZVGACQK2ME25QAAE, ORIGO Biobank | NL_AAAACXPKMVPYIACQK2ME25QAAE, ARREST Biobank | NL_AAAACXPKPSTGWACQK2ME25QAAE, BOSOM Biobank | NL_AAAACXPKSBQFGACQK2ME25QAAE, Occupational asthma Biobank | NL_AAAACXPKSH53MACQK2ME25QAAE, NELSON Biobank | NL_AAAACXPKT6T6WACQK2ME25QAAM, PPHVZ Biobank | NL_AAAACXPKTCIZGACQK2ME25QAAM, GenoMEL Biobank | NL_AAAACXPKTOQW6ACQK2ME25QAAE, MINDACT Biobank | NL_AAAACXPKUTPDUACQK2ME25QAAE, SMART Biobank | NL_AAAACXPLAX4VSACQK2ME25QAAI, Lipidpoli Biobank | NL_AAAACXPLBYGYCACQK2ME25QAAE, The Nightingale Study Biobank | NL_AAAACXPRA5XCUACQK2ME25QAAE, Rijksdienst voor Volksgezondheid en Milieu | NL_AAAACXPRABDP2ACQK2ME25QAAE, SMILE Biobank | NL_AAAACXPRAIR7CACQK2ME25QAAI, Vascular Disease Biobank | NL_AAAACXPRARQ4KACQK2ME25QAAE, PACMAN Biobank | NL_AAAACXPRAZEXWACQK2ME25QAAE, SMILE Biobank | NL_AAAACXPRBD7XQACQK2ME25QAAE, Zutphen Biobank | NL_AAAACXPRCP2M6ACQK2ME25QAAE, LASA Biobank | NL_AAAACXPRDI7YOACQK2ME25QAAE, EPOZ Biobank | NL_AAAACXPRDNXUMACQK2ME25QAAE, EUGENDA Biobank | NL_AAAACXPRDRIO6ACQK2ME25QAAE, Family and Health Biobank | NL_AAAACXS4EWC6CACQK2MBZ5YAAE, PAS Biobank | NL_AAAACXS4EZXBQACQK2MBZ5YAAE, Genetic risk factors in Familial Hypercholesterolemia | NL_AAAACXSW447PSACQK2MBZ5YAAM, Biobank+NKI | NL_AAAACXTCGNZLWACQK2MBZ5YAAE, Hyperlipidemia Biobank | NL_AAAACYAIDV754ACQK2MBZ5YAAI, CDDSS Knowledge base | NL_AAAACYWY5TBZGACQK2MDM4QAAE, AGNES Biobank | NL_AAAACYWYFU3V4ACQK2MDM4QAAM, PRECISION Biobank | NL_AAAACYWZHZP6SACQK2MDM4QAAE, EPIC Biobank | NL_AAAACYWZIFEXYACQK2MDM4QAAM, NOAC Biobank | NL_aaaacz5gvxsieacqk2mgyyqaae, PALGA | NL_aaaacz5nb2ytqacqk2mgyyqaae, PARISK | NL_aaaacz5nbabrsacqk2mgyyqaae, Parelsnoer | NL_aaaaczwp435cwacqk2mo6qaaae, SIMPEL trials Biobank | NL_aaaaczwpyvddcacqk2mo6qaaae, Utrecht Coronary Biobank | NL_aaaaczxoatpr2acqk2mo6qaaae, Biobank of the department gerontology and nephrology - LUMC | NL_aaaaczxoioaeoacqk2mo6qaaae, BBMRI-Omics | NL_AMCBB, Amsterdam UMC Biobank: Location AMC | NL_CBB, Centrale Biobank UMC Utrecht | NL_NA, Unknown | NL_RBB, Radboud Biobank",,,,,,,,,,
"biological_sample_stored_in_a_biobank",generatedcrf,,text,"Biological sample stored in a biobank",,,,,,,,,,,
"patient's_consent_exists_for_his/her_data_to_be_reused_for_other_research_purposes",generatedcrf,,text,"Patient's consent exists for his/her data to be reused for other research purposes",,,,,,,,,,,
"date_of_birth",generatedcrf,,text,"Date of birth",,,date,,,,,,,,
"date_of_death",generatedcrf,,text,"Date of death",,,date,,,,,,,,
"first_contact_with_specialised_centre",generatedcrf,,text,"First contact with specialised centre",,,,,,,,,,,
"genetic_diagnosis",generatedcrf,,dropdown,"Genetic diagnosis","1389, International classification of mutations (HGVS) | data_1153, Online Mendelian Inheritance in Man (OMIM) | data_2298, HUGO Gene Nomenclature Committee (HGNC)",,,,,,,,,,
"international_classification_of_mutations_(hgvs)",generatedcrf,,text,"International classification of mutations (HGVS)",,,,,,,,,,,
"hugo_gene_nomenclature_committee_(hgnc)",generatedcrf,,dropdown,"HUGO Gene Nomenclature Committee (HGNC)","175, ACVRL1 | 391, AKT1 | 1097, BRAF | 1573, KRIT1 | 3349, ENG | 3395, EPHB4 | 3767, FLT4 | 3796, FOS | 3797, FOSB | 3801, FOXC2 | 4171, GATA2 | 4379, GNA11 | 4382, GNA14 | 4390, GNAQ | 5382, IDH1 | 5383, IDH2 | 6388, KIF11 | 6770, SMAD4 | 6840, MAP2K1 | 6855, MAP3K3 | 7553, MYC | 8761, PDCD10 | 8975, PIK3CA | 9588, PTEN | 9647, PTPN14 | 9871, RASA1 | 11194, SOX18 | 11724, TEK (TIE2) | 11752, TFE3 | 12682, VEGFC | 14373, Glomulin | 16950, STAMBP | 17233, ELMO2 | 17494, GJC2 | 18806, CAMTA1 | 21708, Malcavernin | 29426, CCBE1 | 681941, VEGFR3 | NPM11, NPM11 | RAS, RAS",,,,,,,,,,
"international_classification_of_functioning,_disability_and_health",generatedcrf,,dropdown,"International Classification of Functioning, Disability and Health","C121522, WHODAS Questionnaire | C130322, PedSQL Questionnaire",,,,,,,,,,
"online_mendelian_inheritance_in_man_(omim)",generatedcrf,,text,"Online Mendelian Inheritance in Man (OMIM)",,,,,,,,,,,
"patient's_status",generatedcrf,,dropdown,"Patient's status","0001421, Alive | 0001422, Dead | 399307001, Lost in follow-up | C4291647, Opted-out",,,,,,,,,,
"pedsql_score",generatedcrf,,text,"PedSQL Score",,,,,,,,,,,
"phenotype_(hpo)",generatedcrf,,text,"Phenotype (HPO)",,,,,,,,,,,
"eupid_pseudonym",generatedcrf,,text,"EUPID Pseudonym",,,,,,,,,,,
"rare_disease's_diagnosis_(orpha)",generatedcrf,,dropdown,"Rare disease's diagnosis (Orpha)","73, Gorham-Stout disease | 109, Bannayan-Riley-Ruvalcaba syndrome | 744, Proteus syndrome | 774, Hereditary hemorrhagic telangiectasia | 1059, Blue rubber bleb nevus | 1063, Tufted angioma | 1556, Cutis marmorata telangiectatica congenita | 2122, Kaposiform hemangioendothelioma | 2123, Diffuse neonatal hemangiomatosis | 2136, Hennekam syndrome | 2330, Kasabach-Merritt syndrome | 2415, Rare lymphatic malformation | 2451, Mucocutaneous venous malformations | 3205, Sturge-Weber syndrome | 33001, Lymphedema-distichiasis syndrome | 33276, Kaposi sarcoma | 42775, PHACE syndrome | 53721, Cobb syndrome | 60040, Megalencephaly-capillary malformation-polymicrogyria syndrome | 69735, Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome | 75508, Angioosteohypotrophic syndrome | 77240, Primary lymphedema | 79452, Milroy disease | 79489, Macrocystic lymphatic malformation | 79490, Microcystic lymphatic malformation | 83454, Glomuvenous malformation | 83628, LUMBAR syndrome | 90307, Parkes Weber syndrome | 90308, Klippel-Trénaunay syndrome | 98731, Congenital arteriovenous fistula | 99141, Lymphedema-posterior choanal atresia syndrome | 137667, Capillary malformation-arteriovenous malformation | 140944, CLOVES syndrome | 141179, Non-involuting congenital hemangioma | 141184, Rapidly involuting congenital hemangioma | 141209, Diffuse lymphatic malformation | 157791, Epithelioid hemangioendothelioma | 163634, Maffucci syndrome | 168984, CLAPO syndrome | 210584, Spindle cell hemangioma | 210589, Infantile hemangioma of rare localization | 211237, Rare vascular tumor | 211247, Rare capillary malformation | 211252, Rare venous malformation | 211266, Rare arteriovenous malformation | 211277, Complex vascular malformation with associated anomalies | 221061, Familial cerebral cavernous malformation | 263413, Angiosarcoma | 294016, Microcephaly-capillary malformation syndrome | 306498, PTEN hamartoma tumor syndrome | 458763, Retiform hemangioendothelioma | 458768, Primary intralymphatic angioendothelioma | 458775, Congenital hemangioma | 458785, Partially involuting congenital hemangioma | 458792, Mixed cystic lymphatic malformation | 458827, Vascular tumor with associated anomalies | 458833, Common cystic lymphatic malformation | 458837, Rare combined vascular malformation | 458841, Primary lymphedema with associated anomalies | 458844, Rare vascular malformation of major vessels | 459530, Genetic primary lymphedema | 464318, Verrucous hemangioma | 464321, Multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome",,,,,,,,,,
"sex",generatedcrf,,dropdown,"Sex","394743007, Gender unknown | 394744001, Gender unspecified | 703117000, Masculine gender | 703118005, Feminine gender",,,,,,,,,,
"undiagnosed_case",generatedcrf,,dropdown,"Undiagnosed case","0000001, Phenotype (HPO) | 001389, Genotype (HGVS)",,,,,,,,,,
"whodas_score",generatedcrf,,text,"WHODAS Score",,,,,,,,,,,
